,Tourn_Title,Location,Dates,Rounds_Single,Rounds_Doubles,Court,Surface,StartDate,EndDate,Latitude,Longitude
0,Chennai,"Chennai, India",2016.01.04 - 2016.01.10,28,16,Outdoor,Hard,2016-01-04,2016-01-10,13.0826802,80.2707184
1,Doha,"Doha, Qatar",2016.01.04 - 2016.01.10,32,16,Outdoor,Hard,2016-01-04,2016-01-10,25.2854473,51.53103979999999
2,Brisbane,"Brisbane, Australia",2016.01.04 - 2016.01.10,28,16,Outdoor,Hard,2016-01-04,2016-01-10,-27.4710107,153.0234489
3,Auckland,"Auckland, New Zealand",2016.01.11 - 2016.01.17,28,16,Outdoor,Hard,2016-01-11,2016-01-17,-36.8484597,174.7633315
4,Sydney,"Sydney, Australia",2016.01.11 - 2016.01.17,28,16,Outdoor,Hard,2016-01-11,2016-01-17,-33.8674869,151.2069902
5,Australian Open,"Melbourne, Australia",2016.01.18 - 2016.01.31,128,64,Outdoor,Hard,2016-01-18,2016-01-31,-37.814107,144.96328
6,Quito,"Quito, Ecuador",2016.02.01 - 2016.02.07,28,16,Outdoor,Clay,2016-02-01,2016-02-07,-0.1806532,-78.4678382
7,Montpellier,"Montpellier, France",2016.02.01 - 2016.02.07,28,16,Indoor,Hard,2016-02-01,2016-02-07,43.610769,3.876716
8,Sofia,"Sofia, Bulgaria",2016.02.01 - 2016.02.07,28,16,Indoor,Hard,2016-02-01,2016-02-07,42.6977082,23.3218675
9,Buenos Aires,"Buenos Aires, Argentina",2016.02.08 - 2016.02.14,28,16,Outdoor,Clay,2016-02-08,2016-02-14,-34.6036844,-58.3815591
10,Rotterdam,"Rotterdam, Netherlands",2016.02.08 - 2016.02.14,32,16,Indoor,Hard,2016-02-08,2016-02-14,51.9244201,4.4777325
11,Memphis,"Memphis, TN, U.S.A.",2016.02.08 - 2016.02.14,28,16,Indoor,Hard,2016-02-08,2016-02-14,35.1495343,-90.0489801
12,Rio de Janeiro,"Rio de Janeiro, Brazil",2016.02.15 - 2016.02.21,32,16,Outdoor,Clay,2016-02-15,2016-02-21,-22.9068467,-43.1728965
13,Marseille,"Marseille, France",2016.02.15 - 2016.02.21,28,16,Indoor,Hard,2016-02-15,2016-02-21,43.296482,5.36978
